species,RL.cat
Erica_abbottii,VU
Erica_abelii,VU
Erica_abietina,LC
Erica_accommodata,LC
Erica_acuta,LC
Erica_adnata,LC
Erica_aestiva,NE
Erica_affinis,NT
Erica_agglutinans,EN
Erica_albens,LC
Erica_albertyniae,VU
Erica_albospicata,LC
Erica_alexandri,CR
Erica_alfredii,VU
Erica_algida,NE
Erica_alnea,LC
Erica_alopecurus,NE
Erica_altevivens,LC
Erica_alticola,LC
Erica_altiphila,LC
Erica_amalophylla,NE
Erica_amatolensis,LC
Erica_amicorum,LC
Erica_amidae,VU
Erica_amoena,LC
Erica_amphigena,VU
Erica_ampullacea,LC
Erica_andevalensis,NT
Erica_andreaei,LC
Erica_andringitrensis,NE
Erica_aneimena,VU
Erica_anemodes,LC
Erica_anguliger,LC
Erica_angulosa,LC
Erica_annalis,LC
Erica_annectens,VU
Erica_anomala,LC
Erica_arachnocalyx,LC
Erica_arborea,LC
Erica_arborescens,NE
Erica_arcuata,LC
Erica_ardens,LC
Erica_arenaria,NT
Erica_areolata,LC
Erica_argentea,LC
Erica_argyraea,LC
Erica_aristata,LC
Erica_aristifolia,VU
Erica_armandiana,NE
Erica_artemisioides,LC
Erica_articularis,LC
Erica_aspalathifolia,LC
Erica_aspalathoides,VU
Erica_atherstonei,NT
Erica_atricha,LC
Erica_atromontana,LC
Erica_atropurpurea,LC
Erica_atrovinosa,VU
Erica_australis,NE
Erica_austronyassana,NE
Erica_autumnalis,LC
Erica_axillaris,LC
Erica_axilliflora,LC
Erica_azaleifolia,LC
Erica_azorica,NE
Erica_baccans,LC
Erica_bakeri,CR
Erica_banksia,LC
Erica_barbigeroides,LC
Erica_barnettiana,NE
Erica_baroniana,NE
Erica_barrydalensis,LC
Erica_bauera,EN
Erica_beatricis,NE
Erica_benguelensis,LC
Erica_benthamiana,LC
Erica_bergiana,LC
Erica_berzelioides,CR
Erica_betsileana,NE
Erica_bibax,LC
Erica_bicolor,LC
Erica_binaria,VU
Erica_blaerioides,LC
Erica_blancheana,NE
Erica_blandfordia,LC
Erica_blenna,LC
Erica_blesbergensis,NE
Erica_bodkinii,LC
Erica_bojeri,NE
Erica_bokkeveldia,LC
Erica_bolusanthus,LC
Erica_bolusiae,CR
Erica_borboniifolia,LC
Erica_bosseri,NE
Erica_botryoides,LC
Erica_boucheri,LC
Erica_boutonii,NE
Erica_brachialis,VU
Erica_brachycentra,LC
Erica_brachyphylla,NE
Erica_brachysepala,EN
Erica_bracteolaris,LC
Erica_bredasiana,LC
Erica_brevicaulis,LC
Erica_brevifolia,LC
Erica_brownii,LC
Erica_brownleeae,LC
Erica_bruniades,LC
Erica_bruniifolia,LC
Erica_burchelliana,CR
Erica_cabernetea,CR
Erica_caespitosa,NE
Erica_caffra,LC
Erica_caffrorum,NE
Erica_calcareophila,VU
Erica_calcicola,EN
Erica_caledonica,VU
Erica_calycina,LC
Erica_cameronii,LC
Erica_campanularis,LC
Erica_canaliculata,LC
Erica_canescens,LC
Erica_capensis,LC
Erica_capitata,NT
Erica_caprina,VU
Erica_carduifolia,LC
Erica_carnea,NE
Erica_cavartica,NE
Erica_cederbergensis,LC
Erica_cedromontana,LC
Erica_ceraria,LC
Erica_cereris,LC
Erica_cerinthoides,NE
Erica_cernua,LC
Erica_cetrata,LC
Erica_chamissonis,LC
Erica_chartacea,LC
Erica_chionodes,LC
Erica_chionophila,LC
Erica_chiroptera,LC
Erica_chloroloma,VU
Erica_chlorosepala,VU
Erica_chonantha,LC
Erica_chrysocodon,CR
Erica_ciliaris,NE
Erica_cincta,LC
Erica_cinerea,LC
Erica_clavisepala,LC
Erica_coacervata,LC
Erica_coarctata,LC
Erica_coccinea,LC
Erica_collina,LC
Erica_colorans,VU
Erica_columnaris,VU
Erica_comata,NE
Erica_comorensis,NE
Erica_condensata,LC
Erica_conferta,LC
Erica_consobrina,NE
Erica_conspicua,LC
Erica_constantia,LC
Erica_cooperi,LC
Erica_copiosa,LC
Erica_cordata,LC
Erica_corifolia,LC
Erica_coronanthera,LC
Erica_coruscans,NE
Erica_corydalis,LC
Erica_costatisepala,LC
Erica_coventrya,NE
Erica_crassisepala,LC
Erica_crateriformis,NE
Erica_cremea,VU
Erica_crenata,LC
Erica_cristata,LC
Erica_cristiflora,LC
Erica_croceovirens,LC
Erica_cruenta,LC
Erica_cryptanthera,NE
Erica_cryptoclada,NE
Erica_cubica,LC
Erica_cubitans,LC
Erica_cumuliflora,LC
Erica_cunoniensis,EN
Erica_curtophylla,LC
Erica_curviflora,LC
Erica_curvifolia,NE
Erica_curvirostris,LC
Erica_curvistyla,LC
Erica_cuscutiformis,LC
Erica_cygnea,LC
Erica_cylindrica,LC
Erica_cymosa,LC
Erica_cyrilliflora,VU
Erica_danguyana,NE
Erica_daphniflora,LC
Erica_deflexa,LC
Erica_demissa,LC
Erica_densata,NE
Erica_densifolia,LC
Erica_denticulata,LC
Erica_depressa,LC
Erica_dianthifolia,LC
Erica_diaphana,LC
Erica_diosmifolia,LC
Erica_diotiflora,EN
Erica_discolor,LC
Erica_dispar,NT
Erica_dissimulans,NE
Erica_distorta,LC
Erica_dodii,LC
Erica_dolfiana,LC
Erica_doliiformis,LC
Erica_dominans,NE
Erica_dracomontana,NE
Erica_drakensbergensis,NE
Erica_dregei,EN
Erica_dulcis,NE
Erica_duthieae,LC
Erica_dysantha,EN
Erica_ebracteata,LC
Erica_eburnea,LC
Erica_ecklonii,EN
Erica_eglandulosa,NE
Erica_elsieana,EN
Erica_emarginata,NE
Erica_embothriifolia,LC
Erica_empetrina,LC
Erica_equisetifolia,LC
Erica_erasmia,LC
Erica_eremioides,LC
Erica_ericoides,LC
Erica_erigena,NE
Erica_erinus,VU
Erica_eriocephala,LC
Erica_eriocodon,LC
Erica_eriophoros,VU
Erica_esterhuyseniae,LC
Erica_esteriana,LC
Erica_ethelae,NE
Erica_eugenea,LC
Erica_eustacei,LC
Erica_evansii,NE
Erica_excavata,LC
Erica_exleeana,LC
Erica_extrusa,CR
Erica_fairii,VU
Erica_fascicularis,LC
Erica_fastigiata,LC
Erica_fausta,LC
Erica_feminarum,CR
Erica_ferrea,NT
Erica_filago,NE
Erica_filamentosa,EN
Erica_filialis,VU
Erica_filiformis,VU
Erica_filipendula,LC
Erica_fimbriata,LC
Erica_flacca,LC
Erica_flaccida,NE
Erica_flanaganii,NE
Erica_flavicoma,NE
Erica_flexistyla,EN
Erica_floccifera,VU
Erica_flocciflora,NT
Erica_florifera,LC
Erica_foliacea,EN
Erica_fontana,LC
Erica_formosa,LC
Erica_frigida,LC
Erica_fuscescens,LC
Erica_galgebergensis,VU
Erica_galioides,NE
Erica_galpinii,EN
Erica_garciae,VU
Erica_genistifolia,LC
Erica_georgica,LC
Erica_gerhardii,CR
Erica_gibbosa,NE
Erica_gigantea,LC
Erica_gillii,VU
Erica_glabella,LC
Erica_glabripes,LC
Erica_glandulifera,LC
Erica_glandulipila,LC
Erica_glandulosa,LC
Erica_glaphyra,NE
Erica_glauca,LC
Erica_globiceps,LC
Erica_globulifera,LC
Erica_glomiflora,LC
Erica_glumiflora,VU
Erica_glutinosa,LC
Erica_gnaphaloides,LC
Erica_goatcheriana,LC
Erica_gossypioides,EN
Erica_goudotiana,NE
Erica_gracilipes,CR
Erica_gracilis,LC
Erica_grandiflora,LC
Erica_granulatifolia,VU
Erica_grata,LC
Erica_greyi,NE
Erica_grisbrookii,LC
Erica_guthriei,NE
Erica_gysbertii,LC
Erica_haemastoma,NE
Erica_haematocodon,LC
Erica_haematosiphon,LC
Erica_halicacaba,LC
Erica_hameriana,NE
Erica_hanekomii,EN
Erica_hansfordii,CR
Erica_harveiana,LC
Erica_hebdomadalis,LC
Erica_hebeclada,NE
Erica_heleogena,CR
Erica_heliophila,NE
Erica_hendricksei,VU
Erica_hermani,EN
Erica_heterophylla,NE
Erica_hexandra,LC
Erica_hexensis,LC
Erica_hibbertia,CR
Erica_hillburttii,CR
Erica_hippurus,EN
Erica_hirta,LC
Erica_hirtiflora,LC
Erica_hispidula,LC
Erica_hispiduloides,LC
Erica_holosericea,LC
Erica_holtii,LC
Erica_hottentotica,LC
Erica_humansdorpensis,CR
Erica_humbertii,NE
Erica_humidicola,EN
Erica_humifusa,LC
Erica_ibityensis,NE
Erica_ignita,VU
Erica_imbricata,LC
Erica_imerinensis,NE
Erica_inaequalis,LC
Erica_incarnata,LC
Erica_inclusa,LC
Erica_inconstans,VU
Erica_inflata,LC
Erica_inflaticalyx,LC
Erica_infundibuliformis,LC
Erica_ingeana,LC
Erica_innovans,EN
Erica_inordinata,LC
Erica_insignis,LC
Erica_insolitanthera,VU
Erica_intermedia,LC
Erica_interrupta,CR
Erica_intervallaris,LC
Erica_intonsa,NE
Erica_intricata,VU
Erica_involucrata,LC
Erica_involvens,NE
Erica_ioniana,LC
Erica_irbyana,LC
Erica_irregularis,EN
Erica_irrorata,LC
Erica_isaloensis,NE
Erica_ixanthera,EN
Erica_jacksoniana,LC
Erica_jananthus,VU
Erica_jasminiflora,CR
Erica_johnstoniana,NE
Erica_jonasiana,LC
Erica_jugicola,LC
Erica_jumellei,NE
Erica_juniperina,EN
Erica_junonia,LC
Erica_kammanassieae,LC
Erica_karooica,LC
Erica_karwyderi,CR
Erica_keeromsbergensis,LC
Erica_keetii,NE
Erica_kingaensis,NE
Erica_kirstenii,LC
Erica_klotzschii,LC
Erica_kogelbergensis,LC
Erica_kraussiana,CR
Erica_krugeri,LC
Erica_labialis,LC
Erica_lachnaeifolia,LC
Erica_laeta,LC
Erica_lageniformis,EN
Erica_lananthera,LC
Erica_lanceolifera,VU
Erica_langebergensis,LC
Erica_lanipes,LC
Erica_lanuginosa,LC
Erica_lasciva,LC
Erica_lasiocarpa,NE
Erica_lateralis,LC
Erica_lateriflora,VU
Erica_latiflora,CR
Erica_latifolia,NE
Erica_latituba,LC
Erica_lavandulifolia,LC
Erica_lawsonia,LC
Erica_lecomtei,NE
Erica_lehmannii,LC
Erica_lepidota,LC
Erica_leptantha,NE
Erica_leptopus,LC
Erica_lerouxiae,EN
Erica_leucantha,LC
Erica_leucanthera,LC
Erica_leucoclada,NE
Erica_leucodesmia,LC
Erica_leucopelta,NE
Erica_leucosiphon,LC
Erica_leucotrachela,LC
Erica_lignosa,LC
Erica_limnophila,LC
Erica_limosa,VU
Erica_lithophila,LC
Erica_loganii,LC
Erica_longiaristata,NE
Erica_longimontana,LC
Erica_longipedunculata,LC
Erica_lucida,LC
Erica_lusitanica,LC
Erica_lutea,LC
Erica_lyallii,NE
Erica_lycopodiastrum,LC
Erica_macilenta,NE
Erica_mackayana,LC
Erica_macowanii,LC
Erica_macrocalyx,NE
Erica_macroloma,LC
Erica_macrophylla,LC
Erica_madagascariensis,NE
Erica_maderensis,CR
Erica_maderi,LC
Erica_madida,LC
Erica_maesta,NE
Erica_mafiensis,VU
Erica_magistrati,LC
Erica_magnisylvae,VU
Erica_malmesburiensis,CR
Erica_mammosa,LC
Erica_manipuliflora,NE
Erica_mannii,NE
Erica_margaritacea,CR
Erica_marifolia,VU
Erica_maritima,LC
Erica_marlothii,LC
Erica_marojejyensis,NE
Erica_massonii,LC
Erica_mauritanica,LC
Erica_mauritiensis,NE
Erica_maximiliani,LC
Erica_melanacme,EN
Erica_melanomontana,LC
Erica_melanthera,LC
Erica_melastoma,LC
Erica_micrandra,NE
Erica_microdonta,NE
Erica_milanjiana,NE
Erica_miniscula,NE
Erica_minutifolia,NE
Erica_mira,LC
Erica_mitchelliensis,LC
Erica_modesta,EN
Erica_mollis,LC
Erica_monadelphia,LC
Erica_monantha,NE
Erica_monsoniana,LC
Erica_montis,VU
Erica_mucronata,LC
Erica_multiflexuosa,VU
Erica_multiflora,NE
Erica_multumbellifera,LC
Erica_mundii,NE
Erica_muscosa,LC
Erica_myriadenia,NE
Erica_myriocodon,LC
Erica_nabea,LC
Erica_nana,VU
Erica_natalitia,LC
Erica_navigatoris,VU
Erica_nematophylla,VU
Erica_nemorosa,LC
Erica_nervata,LC
Erica_nevillei,LC
Erica_newdigatei,LC
Erica_nidularia,NE
Erica_nigrimontana,NE
Erica_nivea,NE
Erica_niveniana,VU
Erica_notholeeana,LC
Erica_nubigena,LC
Erica_nudiflora,LC
Erica_nutans,LC
Erica_nyassana,EN
Erica_oakesiorum,EN
Erica_oatesii,LC
Erica_obconica,NE
Erica_obliqua,LC
Erica_oblongiflora,EN
Erica_obtusata,LC
Erica_occulta,VU
Erica_ocellata,LC
Erica_octonaria,NE
Erica_odorata,LC
Erica_oligantha,EN
Erica_oliveri,LC
Erica_omninoglabra,LC
Erica_onusta,CR
Erica_oophylla,LC
Erica_opulenta,LC
Erica_orculiflora,LC
Erica_oreophila,LC
Erica_oreotragus,LC
Erica_oresigena,LC
Erica_orientalis,NE
Erica_orthiocola,EN
Erica_ostiaria,NE
Erica_outeniquae,VU
Erica_ovina,LC
Erica_oxyandra,NE
Erica_oxycoccifolia,LC
Erica_oxysepala,VU
Erica_pageana,LC
Erica_palliiflora,LC
Erica_paludicola,VU
Erica_paniculata,LC
Erica_pannosa,LC
Erica_papyracea,LC
Erica_parilis,LC
Erica_parkeri,NE
Erica_parviflora,LC
Erica_parviporandra,LC
Erica_passerina,LC
Erica_passerinoides,EN
Erica_patens,EN
Erica_patersonia,EN
Erica_paucifolia,EN
Erica_pauciovulata,VU
Erica_pearsoniana,NE
Erica_pectinifolia,LC
Erica_pellucida,LC
Erica_peltata,LC
Erica_penduliflora,EN
Erica_penicilliformis,LC
Erica_perhispida,NE
Erica_perlata,LC
Erica_permutata,LC
Erica_perplexa,CR
Erica_perrieri,NE
Erica_perspicua,LC
Erica_petiolaris,LC
Erica_petraea,LC
Erica_petricola,LC
Erica_petrophila,LC
Erica_petrusiana,CR
Erica_peziza,LC
Erica_phacelanthera,LC
Erica_phaeocarpa,LC
Erica_philippioides,LC
Erica_phillipsii,LC
Erica_physantha,CR
Erica_physodes,LC
Erica_physophylla,LC
Erica_pilaarkopensis,LC
Erica_pillansii,VU
Erica_pilosiflora,VU
Erica_pilulifera,VU
Erica_pinea,LC
Erica_piquetbergensis,CR
Erica_placentiflora,LC
Erica_planifolia,LC
Erica_platycalyx,EN
Erica_platycodon,NE
Erica_plena,LC
Erica_plukenetii,LC
Erica_plumigera,LC
Erica_plumosa,LC
Erica_podophylla,LC
Erica_pogonanthera,NE
Erica_polifolia,NE
Erica_polycoma,LC
Erica_praecox,NE
Erica_praenitens,LC
Erica_priori,LC
Erica_procaviana,NE
Erica_prolata,EN
Erica_propendens,CR
Erica_propinqua,LC
Erica_pseudocalycina,LC
Erica_psittacina,EN
Erica_puberuliflora,LC
Erica_pubescens,LC
Erica_pubigera,LC
Erica_pudens,LC
Erica_pulchella,LC
Erica_pulchelliflora,NE
Erica_pulvinata,CR
Erica_pumila,LC
Erica_purgatoriensis,VU
Erica_pycnantha,LC
Erica_pyxidiflora,LC
Erica_quadrangularis,LC
Erica_quadratiflora,NE
Erica_quadrifida,LC
Erica_quadrisulcata,LC
Erica_racemosa,LC
Erica_radicans,LC
Erica_rakotozafyana,NE
Erica_recta,LC
Erica_recurvata,CR
Erica_recurvifolia,LC
Erica_reenensis,NE
Erica_regerminans,LC
Erica_regia,LC
Erica_rehmii,VU
Erica_remota,CR
Erica_retorta,LC
Erica_reunionensis,NE
Erica_revoluta,NE
Erica_rhodantha,NE
Erica_rhodopis,CR
Erica_rhopalantha,LC
Erica_ribisaria,CR
Erica_richardii,LC
Erica_rigidula,LC
Erica_rimarum,LC
Erica_riparia,EN
Erica_rivularis,EN
Erica_rosacea,LC
Erica_rossii,NE
Erica_rubens,LC
Erica_rubiginosa,LC
Erica_rudolfii,LC
Erica_rufescens,LC
Erica_rugata,LC
Erica_rupicola,NE
Erica_russakiana,NE
Erica_rusticula,LC
Erica_sacciflora,CR
Erica_sagittata,EN
Erica_salax,NE
Erica_salicina,CR
Erica_salteri,NE
Erica_saptouensis,LC
Erica_savilea,NE
Erica_saxicola,LC
Erica_saxigena,LC
Erica_scabriuscula,LC
Erica_schelpeorum,LC
Erica_schlechteri,NE
Erica_schumannii,EN
Erica_scoparia,NE
Erica_scytophylla,LC
Erica_selaginifolia,LC
Erica_senilis,LC
Erica_seriphiifolia,LC
Erica_serrata,LC
Erica_sessiliflora,LC
Erica_setacea,LC
Erica_setociliata,LC
Erica_setosa,LC
Erica_setulosa,LC
Erica_sexfaria,LC
Erica_shannonea,NE
Erica_sicifolia,VU
Erica_sicula,NE
Erica_silvatica,NE
Erica_simii,LC
Erica_similis,LC
Erica_simulans,LC
Erica_sitiens,LC
Erica_situshiemalis,EN
Erica_sociorum,CR
Erica_solandra,LC
Erica_sonderiana,LC
Erica_sparrmanni,LC
Erica_sparsa,LC
Erica_spectabilis,LC
Erica_sperata,LC
Erica_sphaerocephala,LC
Erica_spiculifolia,NE
Erica_spinifera,NE
Erica_spumosa,LC
Erica_squarrosa,VU
Erica_stagnalis,LC
Erica_steinbergiana,LC
Erica_stenantha,LC
Erica_stokoeanthus,VU
Erica_stokoei,LC
Erica_straussiana,NE
Erica_strigilifolia,LC
Erica_strigosa,LC
Erica_stylaris,VU
Erica_subcapitata,LC
Erica_subdivaricata,LC
Erica_subimbricata,NE
Erica_subulata,LC
Erica_subverticillaris,VU
Erica_suffulta,LC
Erica_swaziensis,NE
Erica_sylvainiana,NE
Erica_syngenesia,LC
Erica_tarantulae,VU
Erica_taxifolia,LC
Erica_taylorii,LC
Erica_tegetiformis,LC
Erica_tegulifolia,LC
Erica_tenella,LC
Erica_tenuicaulis,LC
Erica_tenuifolia,LC
Erica_tenuipes,LC
Erica_tenuis,LC
Erica_terminalis,NE
Erica_terniflora,LC
Erica_tetragona,LC
Erica_tetralix,NE
Erica_tetrathecoides,VU
Erica_thamnoides,LC
Erica_thimifolia,LC
Erica_thodei,NE
Erica_thomae,LC
Erica_thomensis,CR
Erica_thunbergii,LC
Erica_tomentosa,LC
Erica_toringbergensis,NE
Erica_totta,LC
Erica_trachysantha,LC
Erica_tradouwensis,LC
Erica_tragomontana,VU
Erica_tragulifera,LC
Erica_transparens,LC
Erica_triceps,LC
Erica_trichadenia,LC
Erica_trichoclada,NE
Erica_trichophora,NE
Erica_trichophylla,EN
Erica_trichostigma,CR
Erica_trichroma,LC
Erica_triflora,LC
Erica_trimera,NE
Erica_tristis,LC
Erica_truncata,NE
Erica_tubercularis,NE
Erica_tumida,LC
Erica_turgida,CR
Erica_turneri,VU
Erica_turrisbabylonica,VU
Erica_uberiflora,LC
Erica_umbellata,NE
Erica_umbelliflora,LC
Erica_umbratica,LC
Erica_umbrosa,NE
Erica_unicolor,LC
Erica_unilateralis,LC
Erica_urceolata,LC
Erica_urna,LC
Erica_ustulescens,CR
Erica_utriculosa,LC
Erica_uysii,VU
Erica_vagans,LC
Erica_valida,LC
Erica_vallis,LC
Erica_varderi,NE
Erica_velatiflora,VU
Erica_ventricosa,LC
Erica_venustiflora,VU
Erica_verecunda,LC
Erica_vernicosa,LC
Erica_versicolor,LC
Erica_verticillata,CR
Erica_vestita,LC
Erica_viguieri,NE
Erica_villosa,LC
Erica_virginalis,LC
Erica_viridiflora,LC
Erica_viridimontana,CR
Erica_viscaria,LC
Erica_viscidiflora,NE
Erica_viscosissima,VU
Erica_vlokii,VU
Erica_vogelpoelii,LC
Erica_walkeria,LC
Erica_wangfatiana,NE
Erica_wendlandiana,LC
Erica_whyteana,NE
Erica_wildii,LC
Erica_williamsiorum,VU
Erica_winteri,LC
Erica_wittebergensis,LC
Erica_woodii,NE
Erica_wyliei,LC
Erica_xanthina,LC
Erica_xeranthemifolia,CR
Erica_zebrensis,EN
Erica_zeyheriana,VU
Erica_zwartbergensis,LC
